largest,Largest,"Corrected, Capitalization Error"
Plant,Plant,Not corrected
in,in,Not corrected
the,the,Not corrected
World.,World.,Not corrected
stem,stem,Not corrected
of,of,Not corrected
tho,the,"Corrected, Spellcheck Error"
plant,plant,Not corrected
is,is,Not corrected
as,as,Not corrected
strong,strong,Not corrected
as,as,Not corrected
an,an,Not corrected
or-,or-,Not corrected
habitants,habitants,Not corrected
of,of,Not corrected
tho,the,"Corrected, Spellcheck Error"
South,South,Not corrected
Sea,Sea,Not corrected
"Islands,","Islands,",Not corrected
a,a,Not corrected
depth,depth,Not corrected
of,of,Not corrected
from,from,Not corrected
200,200,Not corrected
to,to,Not corrected
300,300,Not corrected
foet.,feet.,"Corrected, Spellcheck Error"
As,As,Not corrected
soon,soon,Not corrected
#NAME?,as,Additon of words
the,the,Not corrected
:,plant,Additon of words
plant,takes,Additon of words
takes,root,Additon of words
root,a,Additon of words
a,spear-,Additon of words
*,"""Happy",Additon of words
"■•"".","Tom""",Additon of words
',Burrell,Additon of words
'Happy,was,Additon of words
Tom,arrested,Additon of words
sworn,sworn,Not corrected
out,out,Not corrected
by,by,Not corrected
Tom,Tom,Not corrected
Irvine.,Irvine.,Not corrected
V.,His,Others
His,case,Others
came,came,Not corrected
up,up,Not corrected
#NAME?,in,Additon of words
Justice,Justice,Not corrected
Carpender's,Carpender's,Not corrected
court,court,Not corrected
rell,rell,Not corrected
was,was,Not corrected
acquitted.,acquitted.,Not corrected
A,A,Not corrected
young,young,Not corrected
man,man,Not corrected
named,named,Not corrected
Charles,Charles,Not corrected
Sira-,Sim-,"Corrected, Spellcheck Error"
property.,property.,Not corrected
He,He,Not corrected
had,had,Not corrected
.,his,Others
his,arm,Others
arm,broken,Additon of words
While,While,Not corrected
iv,in,"Corrected, Spellcheck Error"
the,the,Not corrected
Louvre,Louvre,Not corrected
"Restaurant,","Restaurant,",Not corrected
a,a,Not corrected
few,few,Not corrected
hours,hours,Not corrected
before,before,Not corrected
the,the,Not corrected
deed,deed,Not corrected
was,was,Not corrected
com-,com-,Not corrected
"mitted,","mitted,",Not corrected
he,he,Not corrected
said,said,Not corrected
he,he,Not corrected
would,would,Not corrected
go,go,Not corrected
put,out,"Corrected, Capitalization Error"
and,and,Not corrected
commit,commit,Not corrected
suicide.,suicide.,Not corrected
The,The,Not corrected
Louvre,Louvre,Not corrected
peopie,people,"Corrected, Spellcheck Error"
treated,treated,Not corrected
the,the,Not corrected
matter,matter,Not corrected
as,as,Not corrected
a,a,Not corrected
joke,joke,Not corrected
and,and,Not corrected
ment,ment,Not corrected
for,for,Not corrected
January,January,Not corrected
amounts,amounts,Not corrected
"t0519,",to,Additon of words
775,"$19,",Additon of words
36;,775,Others
S,This,Additon of words
X,can,Others
This,be,Additon of words
can,truthfully,Additon of words
be,said,Additon of words
♦,of,Others
TUT,any,Others
"""'",of,Others
of,the,Others
any,clothes,Additon of words
of,made,Additon of words
I,at,Others
lilt,our,Additon of words
*,shop.,Additon of words
at,The,Others
°,cutting,Additon of words
\\,is,Others
3,done,Additon of words
T,by,Others
is,an,Others
done,experienced,Additon of words
"',',",cutter;,Additon of words
"',',",we,Additon of words
