oldText,newText,sameLength,editDist_0,editDistAbove1,editDistBelow3,editDist_1andcaseChange,punct_diff,ERROR_TYPE
largest,Largest,1,0,0,0,1,0,3
Plant,Plant,1,1,0,0,0,0,0
in,in,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
World.,World.,1,1,0,0,0,0,0
stem,stem,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
tho,the,1,0,0,0,0,0,4
plant,plant,1,1,0,0,0,0,0
is,is,1,1,0,0,0,0,0
as,as,1,1,0,0,0,0,0
strong,strong,1,1,0,0,0,0,0
as,as,1,1,0,0,0,0,0
an,an,1,1,0,0,0,0,0
or-,or-,1,1,0,0,0,0,0
habitants,habitants,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
tho,the,1,0,0,0,0,0,4
South,South,1,1,0,0,0,0,0
Sea,Sea,1,1,0,0,0,0,0
"Islands,","Islands,",1,1,0,0,0,0,0
a,a,1,1,0,0,0,0,0
depth,depth,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
from,from,1,1,0,0,0,0,0
200,200,1,1,0,0,0,0,0
to,to,1,1,0,0,0,0,0
300,300,1,1,0,0,0,0,0
foet.,feet.,1,0,0,0,0,0,4
As,As,1,1,0,0,0,0,0
soon,soon,1,1,0,0,0,0,0
#NAME?,as,0,0,0,0,0,1,5
the,the,1,1,0,0,0,0,0
:,plant,0,0,0,0,0,1,5
plant,takes,1,0,1,0,0,0,2
takes,root,0,0,0,0,0,0,2
root,a,0,0,0,0,0,0,2
a,spear-,0,0,0,0,0,1,5
*,"""Happy",0,0,0,0,0,1,5
"■•"".","Tom""",0,0,0,0,0,1,5
,Burrell,0,0,0,0,0,1,5
Happy,was,0,0,0,0,0,0,2
Tom,arrested,0,0,0,0,0,0,2
sworn,sworn,1,1,0,0,0,0,0
out,out,1,1,0,0,0,0,0
by,by,1,1,0,0,0,0,0
Tom,Tom,1,1,0,0,0,0,0
Irvine.,Irvine.,1,1,0,0,0,0,0
V.,His,0,0,0,0,0,1,5
His,case,0,0,0,0,0,0,2
came,came,1,1,0,0,0,0,0
up,up,1,1,0,0,0,0,0
#NAME?,in,0,0,0,0,0,1,5
Justice,Justice,1,1,0,0,0,0,0
Carpender's,Carpender's,1,1,0,0,0,0,0
court,court,1,1,0,0,0,0,0
rell,rell,1,1,0,0,0,0,0
was,was,1,1,0,0,0,0,0
acquitted.,acquitted.,1,1,0,0,0,0,0
A,A,1,1,0,0,0,0,0
young,young,1,1,0,0,0,0,0
man,man,1,1,0,0,0,0,0
named,named,1,1,0,0,0,0,0
Charles,Charles,1,1,0,0,0,0,0
Sira-,Sim-,0,0,1,1,0,0,1
property.,property.,1,1,0,0,0,0,0
He,He,1,1,0,0,0,0,0
had,had,1,1,0,0,0,0,0
0,his,0,0,0,0,0,0,2
his,arm,1,0,1,0,0,0,2
arm,broken,0,0,0,0,0,0,2
While,While,1,1,0,0,0,0,0
iv,in,1,0,0,0,0,0,4
the,the,1,1,0,0,0,0,0
Louvre,Louvre,1,1,0,0,0,0,0
"Restaurant,","Restaurant,",1,1,0,0,0,0,0
a,a,1,1,0,0,0,0,0
few,few,1,1,0,0,0,0,0
hours,hours,1,1,0,0,0,0,0
before,before,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
deed,deed,1,1,0,0,0,0,0
was,was,1,1,0,0,0,0,0
com-,com-,1,1,0,0,0,0,0
"mitted,","mitted,",1,1,0,0,0,0,0
he,he,1,1,0,0,0,0,0
said,said,1,1,0,0,0,0,0
he,he,1,1,0,0,0,0,0
would,would,1,1,0,0,0,0,0
go,go,1,1,0,0,0,0,0
put,out,1,0,0,0,0,0,4
and,and,1,1,0,0,0,0,0
commit,commit,1,1,0,0,0,0,0
suicide.,suicide.,1,1,0,0,0,0,0
The,The,1,1,0,0,0,0,0
Louvre,Louvre,1,1,0,0,0,0,0
peopie,people,1,0,0,0,0,0,4
treated,treated,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
matter,matter,1,1,0,0,0,0,0
as,as,1,1,0,0,0,0,0
a,a,1,1,0,0,0,0,0
joke,joke,1,1,0,0,0,0,0
and,and,1,1,0,0,0,0,0
ment,ment,1,1,0,0,0,0,0
for,for,1,1,0,0,0,0,0
January,January,1,1,0,0,0,0,0
amounts,amounts,1,1,0,0,0,0,0
"t0519,",to,0,0,0,0,0,1,5
775,"$19,",0,0,0,0,0,1,5
36;,775,1,0,1,0,0,1,5
S,This,0,0,0,0,0,0,2
X,can,0,0,0,0,0,0,2
This,be,0,0,0,0,0,0,2
can,truthfully,0,0,0,0,0,0,2
be,said,0,0,0,0,0,0,2
♦,of,0,0,0,0,0,0,2
TUT,any,1,0,1,0,0,0,2
"""'",of,1,0,1,1,0,1,5
of,the,0,0,0,0,0,0,2
any,clothes,0,0,0,0,0,0,2
of,made,0,0,0,0,0,0,2
I,at,0,0,1,1,0,0,1
lilt,our,0,0,0,0,0,0,2
*,shop.,0,0,0,0,0,1,5
at,The,0,0,0,0,0,0,2
°,cutting,0,0,0,0,0,0,2
\\,is,1,0,1,1,0,1,5
3,done,0,0,0,0,0,0,2
T,by,0,0,1,1,0,0,1
is,an,1,0,1,1,0,0,1
done,experienced,0,0,0,0,0,0,2
